id,sembol,tf,tarih,giris,giris_fiili,stop,t1,t2,son_fiyat,getiri_pct,durum,R,gun,mfe,mae,son_tarih,v
2026-06-24_ICUGS_gunluk,ICUGS,gunluk,2026-06-24,5.65,5.65,4.81,6.91,7.33,5.4,-4.42,DEAD,-0.3,10,0.68,-0.52,2026-07-08,3
2026-07-03_TKFEN_gunluk,TKFEN,gunluk,2026-07-03,140.5,141.2,129.99,156.27,161.53,131.0,-7.22,STOP,-1.0,3,0.29,-1.03,2026-07-08,3
2026-06-05_AKSA_haftalik,AKSA,haftalik,2026-06-05,10.65,10.59,9.89,11.79,12.17,11.68,10.29,TRAIL,1.22,24,3.14,-0.11,2026-07-09,2
2026-07-01_AGHOL_gunluk,AGHOL,gunluk,2026-07-01,34.06,34.2,32.02,37.13,38.15,31.98,-6.49,STOP,-1.0,6,0.14,-1.1,2026-07-09,3
2026-07-03_ZEDUR_haftalik,ZEDUR,haftalik,2026-07-03,9.63,9.63,8.72,10.99,11.45,8.68,-9.87,STOP,-1.0,4,0.09,-1.07,2026-07-09,3
2026-07-06_PATEK_gunluk,PATEK,gunluk,2026-07-06,24.12,24.38,21.86,27.51,28.64,21.92,-10.09,STOP,-1.0,3,0.3,-1.07,2026-07-09,3
2026-06-30_DCTTR_gunluk,DCTTR,gunluk,2026-06-30,13.03,13.09,11.79,14.89,15.51,11.48,-12.3,STOP,-1.0,10,0.7,-1.38,2026-07-14,3
2026-07-06_PRKME_gunluk,PRKME,gunluk,2026-07-06,21.14,21.48,18.7,24.8,26.02,18.68,-13.04,STOP,-1.0,6,0.37,-1.01,2026-07-14,3
2026-07-07_GMTAS_gunluk,GMTAS,gunluk,2026-07-07,46.94,46.88,43.68,51.83,53.46,44.06,-6.02,STOP,-1.0,5,0.04,-1.02,2026-07-14,3
2026-07-08_DGGYO_gunluk,DGGYO,gunluk,2026-07-08,39.86,38.14,34.64,47.68,50.29,39.0,2.25,TRAIL,0.75,6,1.52,-0.54,2026-07-17,3
2026-07-13_CEOEM_gunluk,CEOEM,gunluk,2026-07-13,30.2,30.6,25.84,36.74,38.92,25.1,-17.97,STOP,-1.0,3,0.02,-1.16,2026-07-17,3
2026-07-03_EKGYO_haftalik,EKGYO,haftalik,2026-07-03,20.8,20.82,18.03,24.96,26.35,20.2,-2.98,DEAD,-0.22,10,0.19,-0.27,2026-07-20,3
2026-07-03_BMSTL_haftalik,BMSTL,haftalik,2026-07-03,44.02,44.02,38.02,53.03,56.03,44.8,1.77,DEAD,0.13,10,0.61,-0.63,2026-07-20,3
2026-07-03_MAALT_haftalik,MAALT,haftalik,2026-07-03,1153.0,1153.0,1066.35,1282.98,1326.3,1087.0,-5.72,DEAD,-0.76,10,0.08,-0.81,2026-07-20,3
2026-07-06_ARDYZ_gunluk,ARDYZ,gunluk,2026-07-06,63.35,63.45,54.94,75.96,80.16,69.3,9.22,DEAD,0.69,10,0.96,-0.15,2026-07-21,3
2026-07-07_BINBN_gunluk,BINBN,gunluk,2026-07-07,190.9,194.6,171.67,219.75,229.37,175.0,-10.07,DEAD,-0.85,10,0.06,-0.96,2026-07-22,3
2026-06-09_MANAS_gunluk,MANAS,gunluk,2026-06-09,26.64,26.3,23.96,30.66,32.0,30.04,14.22,TRAIL,1.55,33,3.92,-0.12,2026-07-27,2
2026-07-10_KCHOL_haftalik,KCHOL,haftalik,2026-07-10,192.8,191.2,178.36,214.46,221.68,196.7,2.88,DEAD,0.43,10,1.13,-0.16,2026-07-27,3
2026-07-07_ATATP_gunluk,ATATP,gunluk,2026-07-07,219.0,218.0,200.29,247.06,256.41,219.2,0.55,TRAIL,1.04,14,3.5,-0.88,2026-07-28,3
2026-07-07_AVGYO_gunluk,AVGYO,gunluk,2026-07-07,14.83,14.83,13.48,16.86,17.53,14.74,-0.61,TRAIL,0.76,14,3.24,-0.61,2026-07-28,3
2026-07-16_ICUGS_gunluk,ICUGS,gunluk,2026-07-16,5.75,5.78,5.3,6.43,6.66,6.0,3.81,TRAIL,0.75,8,1.62,-0.58,2026-07-28,3
2026-07-20_ULUUN_gunluk,ULUUN,gunluk,2026-07-20,9.38,9.4,8.55,10.62,11.03,8.41,-10.53,STOP,-1.0,6,1.11,-1.16,2026-07-28,3
2026-07-21_GEDIK_gunluk,GEDIK,gunluk,2026-07-21,7.03,7.03,6.41,7.97,8.28,6.35,-9.67,STOP,-1.0,5,0.23,-1.45,2026-07-28,3
